year,state,inventory_colonies,loss_pct,stressor_disease_pct,stressor_other_pct,stressor_pesticides_pct,stressor_pests_pct,stressor_unknown_pct,stressor_varroa_mites_pct,annual_avg_temp,annual_total_precip,annual_avg_ndvi,annual_total_sightings
2015,WASHINGTON,73000.0,9.0,1.2249999999999999,4.0,1.825,1.125,0.8500000000000001,30.675,49.975,43.25,-0.16373588420140942,2267.0
2015,WEST VIRGINIA,5000.0,13.75,1.2750000000000001,7.6,2.325,6.35,3.05,18.525,53.14166666666667,48.62,0.0003659373490191333,
2015,WISCONSIN,52000.0,16.0,3.625,10.675,14.875,10.725,10.75,37.699999999999996,44.81666666666666,35.88,-0.0812590547895385,215.0
2015,WYOMING,38000.0,10.5,3.45,5.575,4.375,8.049999999999999,1.6749999999999998,23.375,44.15833333333333,16.71,-0.009865690629295916,1.0
2016,ALABAMA,7000.0,14.75,1.2,4.275,3.9999999999999996,20.525000000000002,8.450000000000001,14.45,65.34166666666667,45.01,-0.03875799324855122,694.0
2016,ARIZONA,27000.0,18.0,5.1,10.4,9.925,16.7,5.7,50.275,62.175000000000004,12.28,-0.0033877431352721497,243.0
2016,ARKANSAS,24000.0,11.75,1.475,2.275,2.45,7.3,3.3249999999999997,61.025,62.791666666666664,50.44,-0.024818536332889853,
2016,CALIFORNIA,310000.0,12.0,9.175,10.925,13.9,15.2,4.35,42.975,60.13333333333333,25.73,-0.08798512488843584,685.0
2016,COLORADO,32000.0,12.0,5.175000000000001,7.225,7.325000000000001,7.1499999999999995,0.175,30.825,47.28333333333333,17.08,-0.00024794414932364166,1583.0
2016,FLORIDA,215000.0,12.75,5.2,8.5,10.85,19.9,2.925,36.95,72.46666666666667,53.41,-0.6254752249217663,9.0
2016,GEORGIA,96000.0,12.25,2.55,6.6499999999999995,17.375,15.299999999999999,3.4,41.474999999999994,65.79166666666667,40.9,-0.05478888333441125,60.0
2016,HAWAII,18000.0,4.75,0.025,1.05,0.4,38.925,0.025,35.9,31.883333333333336,37.07,,
2016,IDAHO,97000.0,9.5,3.5250000000000004,5.25,4.2,3.15,2.6,27.475,45.09166666666667,24.88,-0.014241552563667817,1.0
2016,ILLINOIS,10000.0,10.75,1.05,4.025,3.9,7.6,4.275,17.25,54.73333333333333,39.74,-0.011180836110925957,683.0
2016,INDIANA,8000.0,9.25,0.575,3.375,1.1,7.15,3.7,27.125,54.225,43.379999999999995,-0.006047971614881625,1.0
2016,IOWA,37000.0,12.75,10.55,10.95,7.25,11.350000000000001,5.6,31.9,50.71666666666667,38.1,-0.0021069804446363334,1.0
2016,KANSAS,7000.0,24.25,4.325,3.925,10.4,13.850000000000001,2.8,37.4,57.166666666666664,30.68,-0.004310610571924233,1.0
2016,KENTUCKY,5000.0,13.5,1.65,11.55,12.3,23.275,5.6000000000000005,38.25,57.925000000000004,49.19,-0.012415724487446808,618.0
2016,LOUISIANA,50000.0,11.0,4.9,5.975,0.6,10.6,1.1,21.475,68.74166666666666,67.08,-0.5136958767406554,1.0
2016,MAINE,12000.0,9.5,1.2249999999999999,2.4,7.775,0.325,7.35,26.5,43.25833333333333,41.36,-0.3725234134655358,21.0
2016,MICHIGAN,89000.0,11.25,0.375,5.9,7.2,9.025,3.9250000000000003,37.0,47.36666666666667,35.86,-0.3067707021392014,169.0
2016,MINNESOTA,124000.0,13.75,4.0,9.85,17.45,8.825,9.975,26.9,44.56666666666666,33.54,-0.15071245817863033,666.0
2016,MISSISSIPPI,19000.0,11.0,0.725,2.15,1.925,3.35,5.525,18.875,65.90833333333333,53.129999999999995,-0.01230832009589996,29.0
2016,MISSOURI,8000.0,7.75,0.575,2.675,1.5999999999999999,7.225,2.475,16.7,57.44166666666666,39.44,-0.02191083407029523,
2016,MONTANA,159000.0,6.25,11.1,11.6,6.25,13.825,8.675,32.975,44.625,21.17,-0.015629843392185643,
2016,NEBRASKA,48000.0,12.0,0.35,0.9750000000000001,3.8499999999999996,0.875,1.425,9.7,51.65,25.31,0.0002589131911590542,
2016,NEW JERSEY,12000.0,7.5,0.5,1.65,2.75,5.1,5.300000000000001,17.175,54.949999999999996,39.589999999999996,-0.2962451433093173,
2016,NEW YORK,64000.0,14.5,2.875,10.125,9.25,5.05,2.775,28.275,47.65,38.17,-0.17229785251940555,
2016,NORTH CAROLINA,12000.0,11.5,2.125,9.55,9.85,11.775,12.100000000000001,28.275,60.84166666666667,50.61,-0.5560961238616503,6.0
2016,NORTH DAKOTA,485000.0,8.75,2.4749999999999996,4.05,3.6,5.85,4.3,20.1,44.36666666666667,21.85,-0.031132006543454434,
2016,OHIO,15000.0,11.75,0.9749999999999999,6.975,6.675000000000001,8.8,5.2,38.7,53.574999999999996,37.39,-0.0330378051757812,25.0
2016,OREGON,74000.0,5.25,10.175,6.7,3.75,12.7,2.275,37.875,48.76666666666667,34.68,-0.044870853625846474,2.0
2016,PENNSYLVANIA,19000.0,13.25,1.325,4.45,3.625,4.625,2.45,27.375,50.93333333333334,38.99,-0.0057087186812196,9650.0
2016,SOUTH CAROLINA,16000.0,11.5,6.25,11.975,16.25,21.200000000000003,2.4749999999999996,27.849999999999998,64.85833333333333,46.25,-0.14245476248346559,169.0
